# t (s)	mx ()	my ()	mz ()	MaxAngle (rad)
3.2061695818160263e-10	-0.9158865	0.09263524	0.076731235	0.20604055
3.302550318689132e-10	-0.9319107	0.1864211	0.07385224	0.17726173
3.4059347604427947e-10	-0.86053824	0.26295316	0.06263414	0.23557839
3.5019770947222395e-10	-0.77038455	0.29030895	0.04932999	0.305209
3.6046683703218844e-10	-0.7017838	0.30091965	0.035175566	0.2056813
3.700420838265095e-10	-0.67732257	0.31590626	0.021975337	0.22695746
3.8028131403079053e-10	-0.6866946	0.34727943	0.0064891814	0.2889222
3.9052780314947376e-10	-0.7245625	0.38731283	-0.01124303	0.26118085
4.001031231921179e-10	-0.7782434	0.40790275	-0.02998923	0.17672719
4.104205209923099e-10	-0.8411331	0.38473675	-0.051253058	0.15582901
4.2005363197481617e-10	-0.890108	0.31608447	-0.068909325	0.16060658
4.3035051827845404e-10	-0.9173831	0.20502879	-0.0814802	0.18054624
4.4065092762143944e-10	-0.9143702	0.076934524	-0.08439922	0.14663361
4.5025969624320096e-10	-0.8936194	-0.033349983	-0.07684521	0.15113209
4.6055297377969326e-10	-0.86882144	-0.13004899	-0.05982483	0.16367961
4.701910938916303e-10	-0.8534502	-0.20146741	-0.037876286	0.1493817
4.805238785910846e-10	-0.85629547	-0.25275213	-0.010009695	0.17176011
4.900836359415248e-10	-0.8813387	-0.2654886	0.018619535	0.13597506
5.002956389056109e-10	-0.9202709	-0.22447656	0.04837253	0.11064378
5.104960046605721e-10	-0.9446595	-0.12834905	0.07044072	0.109631345
5.20027160238458e-10	-0.9410631	-0.0127241975	0.08143148	0.12641838
5.302717696392439e-10	-0.91757506	0.11635482	0.08307641	0.11325755
5.405394839599927e-10	-0.88272625	0.23873734	0.0751739	0.106329516
5.501134583225581e-10	-0.8503721	0.3377173	0.059730913	0.1522857
5.603598211969227e-10	-0.8290577	0.41717365	0.035625614	0.11744607
5.706195113350844e-10	-0.8301419	0.4590016	0.0062179966	0.11885031
5.802068239334748e-10	-0.8518502	0.45599216	-0.022334171	0.104552925
5.904679665115184e-10	-0.8864366	0.40296805	-0.049696945	0.08014273
6.000285802822802e-10	-0.9126936	0.3107602	-0.06835386	0.0797277
6.102599145427632e-10	-0.9225286	0.18481213	-0.07689384	0.08948333
6.205045800692667e-10	-0.91480607	0.05644499	-0.07207501	0.08788838
6.301068166029369e-10	-0.90123606	-0.0441826	-0.057027124	0.09463405
6.404347947514143e-10	-0.89373094	-0.11712487	-0.033031344	0.09809515
6.500705944926121e-10	-0.9015419	-0.14801502	-0.007170461	0.08587298
6.603895024119136e-10	-0.9263755	-0.1389164	0.02045927	0.09673651
6.700103509526928e-10	-0.95430696	-0.08934297	0.042658534	0.09523518
6.803189296115809e-10	-0.9712423	0.00045154523	0.05793225	0.077118084
6.906338896977189e-10	-0.965561	0.10683015	0.06140403	0.102443084
7.002585283388218e-10	-0.9454149	0.20053038	0.05469639	0.119090356
7.105580271340818e-10	-0.92109036	0.28119487	0.03966319	0.09915931
7.201525415604918e-10	-0.9072888	0.33067027	0.02077218	0.08169569
7.304132045822266e-10	-0.90795034	0.34940827	-0.0026082878	0.093353115
7.406622098316128e-10	-0.92295384	0.32785732	-0.026690574	0.075836316
7.502210176473021e-10	-0.9424996	0.27057827	-0.046416532	0.07151803
7.604594707573257e-10	-0.9613899	0.17649484	-0.06065438	0.079347365
7.706757242991406e-10	-0.9731183	0.06542921	-0.064526565	0.064604774
7.801990577335887e-10	-0.97507584	-0.035239667	-0.057338458	0.05927202
7.903930784840007e-10	-0.968879	-0.12012552	-0.03862689	0.065104164
8.005939425137533e-10	-0.9609988	-0.16515297	-0.01210415	0.06834739
8.1012202018532e-10	-0.9593903	-0.16406679	0.014811344	0.08541448
8.203372516321643e-10	-0.9659519	-0.11678808	0.04076271	0.10910547
8.305582002755225e-10	-0.9749611	-0.029412705	0.059215106	0.094763905
8.400968194672272e-10	-0.9762462	0.074374646	0.06677228	0.09096055
8.503180931916415e-10	-0.9652014	0.18947357	0.06359085	0.07610333
8.605399983641953e-10	-0.9453273	0.28869924	0.05015882	0.06777508
8.700791540304179e-10	-0.92656595	0.35371366	0.031128146	0.07352032
8.802986062844777e-10	-0.91432536	0.3858763	0.0073100827	0.05935246
8.905164723257016e-10	-0.9158716	0.37739933	-0.016501045	0.07696319
9.000540113567016e-10	-0.9292643	0.33544794	-0.035544626	0.09364041
9.102785760011505e-10	-0.94874597	0.26052594	-0.04958462	0.088749975
9.205073036597197e-10	-0.9642111	0.16709995	-0.054955967	0.07401608
9.300548456841907e-10	-0.97058433	0.07812651	-0.05165007	0.087523654
9.402857133914825e-10	-0.97063655	-0.0033128178	-0.040066674	0.08349179
9.505227360987765e-10	-0.9685794	-0.05735554	-0.022305954	0.071657196
9.600764606653229e-10	-0.9692862	-0.07615709	-0.0030173694	0.06615841
9.70307372293677e-10	-0.9754162	-0.061169203	0.01714509	0.06419075
9.805337413431803e-10	-0.9839175	-0.01405015	0.0333435	0.055663753
9.900771771528853e-10	-0.9880761	0.050584946	0.042178128	0.066074505
1e-09	-0.98461175	0.12604661	0.043269288	0.061141282
